embed_size,hidden_size,learning_rate,batch_size,epochs,train_time,eval_time
32,128,0.001,16,3,7.9830503503481545,0.3235820810000102
32,128,0.001,128,3,5.721704467137655,0.32571056683858235
32,128,0.0001,16,3,7.933692383766174,0.3259159008661906
32,128,0.0001,128,3,5.685388867060343,0.3239258170127869
128,128,0.001,16,3,7.9009081482887265,0.3229052980740865
128,128,0.001,128,3,5.703454434871674,0.32311463356018066
128,128,0.0001,16,3,7.877045583724976,0.32323313554128014
128,128,0.0001,128,3,5.702032200495402,0.3235975503921509
