embed_size,hidden_size,learning_rate,batch_size,epochs,train_time,eval_time
32,128,0.001,16,3,5.109598247210185,0.173361333211263
32,128,0.001,128,3,4.068405568599701,0.17172706524531048
32,128,0.0001,16,3,5.094851851463318,0.17191145022710164
32,128,0.0001,128,3,4.081404332319895,0.17347518603006998
128,128,0.001,16,3,5.082826066017151,0.17468693256378173
128,128,0.001,128,3,4.080877264340718,0.1744833985964457
128,128,0.0001,16,3,5.057339751720429,0.17319479783376057
128,128,0.0001,128,3,4.079930865764618,0.17219679752985637
