1.832646163743856960e+01,1.228589600345458166e+03,5.853179126936709054e+01,5.207917714844023749e+01,4.192795013369186563e+02,3.481032156601668248e+01,1.826450783672225953e+03,1.374474258108205504e+03,1.665456935186513476e+01,2.569357921146370245e+02
6.611297844002024249e-01,5.164690892916041776e+00,9.104788557166966712e+01,2.463023487594279004e+01,4.047051959514683404e+02,4.493968944275275135e+01,3.616679737447360822e+03,1.693955661098016208e+00,9.780803383789304917e+00,5.575401821282230230e+01
6.542670682979291996e+00,6.447813712129163832e+02,2.505823001740282052e+00,3.621051647654127237e+01,1.864769568311835428e+02,4.953516038270117861e+01,1.800508189265019610e+03,8.334554418347324827e+02,1.655402176793919011e+01,7.768267703870606056e+02
1.989524489740409763e+01,6.124637376657215100e+02,1.874845757136473026e+02,9.257366337585023075e+01,3.202312021432917390e+02,1.671076220912248118e+02,1.702547633202513680e+03,1.597257221288342407e+03,1.524975034231671600e+01,4.180332867979057028e+02
1.135543729164459137e+01,6.068139612678851336e+02,7.237851447056004872e+01,1.969621167551153462e+01,3.782433594894182534e+02,1.495808708966919767e+02,1.036654109644216078e+03,6.546022004219094015e+01,3.213830777525602400e+01,8.362066284458023802e+01
1.001000943426203094e+01,7.935659578519243951e+01,7.152282081739440400e+01,1.859984496668081988e+01,3.484688468975855358e+01,1.818088627688307497e+02,1.027417043179200846e+03,7.338678177753481577e+02,2.608643191876268475e+00,6.853175199244778923e+02
4.051129424943280810e+01,1.004654929667867691e+01,1.616536886486447884e+02,5.827181000722364956e+01,4.663770087695911570e+02,1.455765200083844775e+02,1.539321970892829995e+03,2.106782310377301656e+03,1.812869238124552851e+01,1.995289287369157591e+03
2.615653558596363837e+00,4.176181106371905116e+01,2.082091634212247300e+01,4.646488424631343150e-01,5.868051779695169898e+02,2.557809627501405885e+02,1.352450432693949551e+02,2.274956121937761964e+02,3.674097643539653291e-01,1.374588100643275084e+02
2.803323967037840703e+00,1.783049717703547685e+02,1.649530435759965030e+02,1.515767843091637701e+01,2.711952028492532918e+01,1.924653474110975822e+02,4.277006278984335950e+02,5.914193121355020821e+02,7.206423381882444801e+00,2.391488984710731529e+02
3.736711005012125497e+00,5.982477490298629164e+01,4.251478613623191904e+01,3.284783382701505161e+01,1.703738397702400107e+02,5.219817371396334238e+02,4.692359786451270338e+02,7.214487920057335941e+02,1.718655656554047084e+01,9.231394402672995056e+02
1.654791376511258250e+01,1.114047048869333594e+02,4.402756451871073295e+01,2.996457728792108810e+01,7.522560830214297312e+01,3.030693669760325974e+02,1.338195220323257672e+03,5.096233911791359787e+02,1.718650012393538873e+00,7.316301603819674710e+02
3.898909409648990732e+01,1.664514533754572767e+01,4.846159140558472700e+01,4.564786993799114612e+01,3.919142238447911950e+02,2.813980759483265501e+02,1.638198277795134345e+03,5.364555220724407718e+02,1.039560297479525275e+00,8.554728107707906020e+02
2.704852573260154713e+00,4.638733607193635180e+02,4.476089655852399574e+01,2.606710069766421611e+00,1.941540366201338657e+02,1.185825153902221700e+02,1.534570146657944861e+03,1.779940733429161810e+02,3.772418919707092755e+00,7.614509603922988390e+02
